reserved_price,winning_price
8700,8270
8690,8270
8680,8270
8670,8270
8660,8270
8650,8270
8640,8270
8630,8270
8620,8270
8610,8270
8600,8270
8590,8270
8580,8270
8570,8270
8560,8270
8550,8270
8540,8270
8530,8270
8520,8270
8510,8270
8500,8270
8490,8270
8480,8270
8470,8270
8460,8270
8450,8270
8440,8270
8430,8270
8420,8270
8410,8270
8400,8270
8390,8270
8380,8270
8370,8270
8360,8270
8350,8270
8340,8270
8330,8270
8320,8270
8310,8270
8300,8270
8290,8270
8280,8270
8270,8270
